Female,Male,Cross_Type,Sex,Replica,Larva_No,Phenotype,Resistance_Phenotype,Infection_Date,Dissection_Date,Researcher,Comment
566,566,ResistantXResistant,Male,1,10,NA,NA,2018_09_06,2018_09_08,Simone,
566,566,ResistantXResistant,Female,1,1,NA,Susceptible,2018_09_06,2018_09_08,Simone,
566,566,ResistantXResistant,Female,1,2,NA,Susceptible,2018_09_06,2018_09_08,Simone,
566,566,ResistantXResistant,Female,1,3,NA,Susceptible,2018_09_06,2018_09_08,Simone,
566,566,ResistantXResistant,Female,1,4,NA,Susceptible,2018_09_06,2018_09_08,Simone,
566,566,ResistantXResistant,Female,1,5,NA,Susceptible,2018_09_06,2018_09_08,Simone,
566,566,ResistantXResistant,Female,1,6,NA,Susceptible,2018_09_06,2018_09_08,Simone,
566,566,ResistantXResistant,Female,1,7,NA,Susceptible,2018_09_06,2018_09_08,Simone,
566,566,ResistantXResistant,Female,1,8,NA,Susceptible,2018_09_06,2018_09_08,Simone,
566,566,ResistantXResistant,Female,1,9,NA,Susceptible,2018_09_06,2018_09_08,Simone,
566,566,ResistantXResistant,Female,1,10,NA,Susceptible,2018_09_06,2018_09_08,Simone,
566,566,ResistantXResistant,Male,2,1,NA,Resistant,2018_09_06,2018_09_08,Simone,
566,566,ResistantXResistant,Male,2,2,NA,Resistant,2018_09_06,2018_09_08,Simone,
566,566,ResistantXResistant,Male,2,3,NA,Resistant,2018_09_06,2018_09_08,Simone,
566,566,ResistantXResistant,Male,2,4,NA,Resistant,2018_09_06,2018_09_08,Simone,
566,566,ResistantXResistant,Male,2,5,NA,Resistant,2018_09_06,2018_09_08,Simone,
566,566,ResistantXResistant,Male,2,6,NA,Susceptible,2018_09_06,2018_09_08,Simone,
566,566,ResistantXResistant,Male,2,7,NA,Resistant,2018_09_06,2018_09_08,Simone,
566,566,ResistantXResistant,Male,2,8,NA,Susceptible,2018_09_06,2018_09_08,Simone,
566,566,ResistantXResistant,Male,2,9,NA,Susceptible,2018_09_06,2018_09_08,Simone,
566,566,ResistantXResistant,Male,2,10,NA,Resistant,2018_09_06,2018_09_08,Simone,
566,566,ResistantXResistant,Female,2,1,NA,Susceptible,2018_09_06,2018_09_08,Simone,
566,566,ResistantXResistant,Female,2,2,NA,Susceptible,2018_09_06,2018_09_08,Simone,
566,566,ResistantXResistant,Female,2,3,NA,Susceptible,2018_09_06,2018_09_08,Simone,
566,566,ResistantXResistant,Female,2,4,NA,Susceptible,2018_09_06,2018_09_08,Simone,
566,566,ResistantXResistant,Female,2,5,NA,Resistant,2018_09_06,2018_09_08,Simone,
566,566,ResistantXResistant,Female,2,6,NA,Susceptible,2018_09_06,2018_09_08,Simone,
566,566,ResistantXResistant,Female,2,7,NA,Resistant,2018_09_06,2018_09_08,Simone,
566,566,ResistantXResistant,Female,2,8,NA,Susceptible,2018_09_06,2018_09_08,Simone,
566,566,ResistantXResistant,Female,2,9,NA,Susceptible,2018_09_06,2018_09_08,Simone,
566,566,ResistantXResistant,Female,2,10,NA,Resistant,2018_09_06,2018_09_08,Simone,
566,566,ResistantXResistant,Male,3,1,NA,Resistant,2018_09_06,2018_09_08,Simone,Low_Infection_Rate
566,566,ResistantXResistant,Male,3,2,NA,NA,2018_09_06,2018_09_08,Simone,Low_Infection_Rate
566,566,ResistantXResistant,Male,3,3,NA,NA,2018_09_06,2018_09_08,Simone,Low_Infection_Rate
566,566,ResistantXResistant,Male,3,4,NA,NA,2018_09_06,2018_09_08,Simone,Low_Infection_Rate
566,566,ResistantXResistant,Male,3,5,NA,NA,2018_09_06,2018_09_08,Simone,Low_Infection_Rate
566,566,ResistantXResistant,Male,3,6,NA,NA,2018_09_06,2018_09_08,Simone,Low_Infection_Rate
566,566,ResistantXResistant,Male,3,7,NA,NA,2018_09_06,2018_09_08,Simone,Low_Infection_Rate
566,566,ResistantXResistant,Male,3,8,NA,NA,2018_09_06,2018_09_08,Simone,Low_Infection_Rate
566,566,ResistantXResistant,Male,3,9,NA,NA,2018_09_06,2018_09_08,Simone,Low_Infection_Rate
566,566,ResistantXResistant,Male,3,10,NA,NA,2018_09_06,2018_09_08,Simone,Low_Infection_Rate
566,566,ResistantXResistant,Female,3,1,NA,Resistant,2018_09_06,2018_09_08,Simone,Low_Infection_Rate
566,566,ResistantXResistant,Female,3,2,NA,Resistant,2018_09_06,2018_09_08,Simone,Low_Infection_Rate
566,566,ResistantXResistant,Female,3,3,NA,Resistant,2018_09_06,2018_09_08,Simone,Low_Infection_Rate
566,566,ResistantXResistant,Female,3,4,NA,Resistant,2018_09_06,2018_09_08,Simone,Low_Infection_Rate
566,566,ResistantXResistant,Female,3,5,NA,NA,2018_09_06,2018_09_08,Simone,Low_Infection_Rate
566,566,ResistantXResistant,Female,3,6,NA,NA,2018_09_06,2018_09_08,Simone,Low_Infection_Rate
566,566,ResistantXResistant,Female,3,7,NA,NA,2018_09_06,2018_09_08,Simone,Low_Infection_Rate
566,566,ResistantXResistant,Female,3,8,NA,NA,2018_09_06,2018_09_08,Simone,Low_Infection_Rate
566,566,ResistantXResistant,Female,3,9,NA,NA,2018_09_06,2018_09_08,Simone,Low_Infection_Rate
566,566,ResistantXResistant,Female,3,10,NA,NA,2018_09_06,2018_09_08,Simone,Low_Infection_Rate
892,892,SusceptiblexSusceptible,Male,1,1,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Male,1,2,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Male,1,3,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Male,1,4,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Male,1,5,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Male,1,6,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Male,1,7,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Male,1,8,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Male,1,9,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Male,1,10,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Female,1,1,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Female,1,2,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Female,1,3,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Female,1,4,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Female,1,5,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Female,1,6,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Female,1,7,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Female,1,8,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Female,1,9,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Female,1,10,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Male,2,1,NA,Resistant,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Male,2,2,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Male,2,3,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Male,2,4,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Male,2,5,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Male,2,6,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Male,2,7,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Male,2,8,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Male,2,9,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Male,2,10,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Female,2,1,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Female,2,2,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Female,2,3,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Female,2,4,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Female,2,5,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Female,2,6,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Female,2,7,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Female,2,8,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Female,2,9,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Female,2,10,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Male,3,1,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Male,3,2,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Male,3,3,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Male,3,4,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Male,3,5,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Male,3,6,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Male,3,7,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Male,3,8,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Male,3,9,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Male,3,10,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Female,3,1,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Female,3,2,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Female,3,3,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Female,3,4,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Female,3,5,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Female,3,6,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Female,3,7,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Female,3,8,NA,Resistant,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Female,3,9,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Female,3,10,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Male,4,1,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Male,4,2,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Male,4,3,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Male,4,4,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Male,4,5,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Male,4,6,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Male,4,7,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Male,4,8,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Male,4,9,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Male,4,10,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Female,4,1,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Female,4,2,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Female,4,3,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Female,4,4,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Female,4,5,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Female,4,6,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Female,4,7,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Female,4,8,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Female,4,9,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,892,SusceptiblexSusceptible,Female,4,10,NA,Resistant,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Male,1,1,NA,Resistant,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Male,1,2,NA,Resistant,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Male,1,3,NA,Resistant,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Male,1,4,NA,Resistant,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Male,1,5,NA,Resistant,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Male,1,6,NA,Resistant,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Male,1,7,NA,Susceptible,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Male,1,8,NA,Susceptible,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Male,1,9,NA,Susceptible,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Male,1,10,NA,Susceptible,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Female,1,1,NA,Resistant,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Female,1,2,NA,Resistant,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Female,1,3,NA,Resistant,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Female,1,4,NA,Resistant,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Female,1,5,NA,Resistant,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Female,1,6,NA,Resistant,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Female,1,7,NA,Resistant,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Female,1,8,NA,Resistant,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Female,1,9,NA,Susceptible,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Female,1,10,NA,Susceptible,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Male,2,1,NA,Resistant,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Male,2,2,NA,Resistant,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Male,2,3,NA,Resistant,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Male,2,4,NA,Susceptible,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Male,2,5,NA,Resistant,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Male,2,6,NA,Susceptible,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Male,2,7,NA,Resistant,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Male,2,8,NA,Resistant,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Male,2,9,NA,Resistant,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Male,2,10,NA,Resistant,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Female,2,1,NA,Resistant,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Female,2,2,NA,Resistant,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Female,2,3,NA,Resistant,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Female,2,4,NA,Resistant,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Female,2,5,NA,Susceptible,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Female,2,6,NA,Resistant,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Female,2,7,NA,Susceptible,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Female,2,8,NA,Resistant,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Female,2,9,NA,Susceptible,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Female,2,10,NA,Resistant,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Male,3,1,NA,Resistant,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Male,3,2,NA,Resistant,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Male,3,3,NA,Resistant,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Male,3,4,NA,Resistant,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Male,3,5,NA,Resistant,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Male,3,6,NA,Resistant,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Male,3,7,NA,Resistant,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Male,3,8,NA,Susceptible,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Male,3,9,NA,Resistant,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Male,3,10,NA,Resistant,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Female,3,1,NA,Resistant,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Female,3,2,NA,Resistant,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Female,3,3,NA,Resistant,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Female,3,4,NA,Resistant,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Female,3,5,NA,Resistant,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Female,3,6,NA,Resistant,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Female,3,7,NA,Resistant,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Female,3,8,NA,Resistant,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Female,3,9,NA,Resistant,2018_09_06,2018_09_08,Simone,
437,892,ResistantXSusceptible,Female,3,10,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,437,SusceptibleXResistant,Male,1,1,NA,Resistant,2018_09_06,2018_09_08,Simone,
892,437,SusceptibleXResistant,Male,1,2,NA,Resistant,2018_09_06,2018_09_08,Simone,
892,437,SusceptibleXResistant,Male,1,3,NA,Resistant,2018_09_06,2018_09_08,Simone,
892,437,SusceptibleXResistant,Male,1,4,NA,Resistant,2018_09_06,2018_09_08,Simone,
892,437,SusceptibleXResistant,Male,1,5,NA,Resistant,2018_09_06,2018_09_08,Simone,
892,437,SusceptibleXResistant,Male,1,6,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,437,SusceptibleXResistant,Male,1,7,NA,Resistant,2018_09_06,2018_09_08,Simone,
892,437,SusceptibleXResistant,Male,1,8,NA,Resistant,2018_09_06,2018_09_08,Simone,
892,437,SusceptibleXResistant,Male,1,9,NA,Resistant,2018_09_06,2018_09_08,Simone,
892,437,SusceptibleXResistant,Male,1,10,NA,Resistant,2018_09_06,2018_09_08,Simone,
892,437,SusceptibleXResistant,Female,1,1,NA,Resistant,2018_09_06,2018_09_08,Simone,
892,437,SusceptibleXResistant,Female,1,2,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,437,SusceptibleXResistant,Female,1,3,NA,Resistant,2018_09_06,2018_09_08,Simone,
892,437,SusceptibleXResistant,Female,1,4,NA,Resistant,2018_09_06,2018_09_08,Simone,
892,437,SusceptibleXResistant,Female,1,5,NA,Resistant,2018_09_06,2018_09_08,Simone,
892,437,SusceptibleXResistant,Female,1,6,NA,Resistant,2018_09_06,2018_09_08,Simone,
892,437,SusceptibleXResistant,Female,1,7,NA,Resistant,2018_09_06,2018_09_08,Simone,
892,437,SusceptibleXResistant,Female,1,8,NA,Resistant,2018_09_06,2018_09_08,Simone,
892,437,SusceptibleXResistant,Female,1,9,NA,Resistant,2018_09_06,2018_09_08,Simone,
892,437,SusceptibleXResistant,Female,1,10,NA,Resistant,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Male,1,1,NA,Resistant,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Male,1,2,NA,Resistant,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Male,1,3,NA,Resistant,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Male,1,4,NA,Resistant,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Male,1,5,NA,Resistant,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Male,1,6,NA,Resistant,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Male,1,7,NA,Resistant,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Male,1,8,NA,Susceptible,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Male,1,9,NA,Susceptible,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Male,1,10,NA,Susceptible,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Female,1,1,NA,Resistant,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Female,1,2,NA,Resistant,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Female,1,3,NA,Resistant,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Female,1,4,NA,Resistant,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Female,1,5,NA,Resistant,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Female,1,6,NA,Resistant,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Female,1,7,NA,Resistant,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Female,1,8,NA,Resistant,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Female,1,9,NA,Resistant,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Female,1,10,NA,Resistant,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Male,2,1,NA,Resistant,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Male,2,2,NA,Resistant,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Male,2,3,NA,Susceptible,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Male,2,4,NA,Resistant,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Male,2,5,NA,Resistant,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Male,2,6,NA,Resistant,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Male,2,7,NA,Resistant,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Male,2,8,NA,Resistant,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Male,2,9,NA,Resistant,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Male,2,10,NA,Resistant,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Female,2,1,NA,Resistant,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Female,2,2,NA,Resistant,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Female,2,3,NA,Resistant,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Female,2,4,NA,Resistant,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Female,2,5,NA,Resistant,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Female,2,6,NA,Resistant,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Female,2,7,NA,Resistant,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Female,2,8,NA,Resistant,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Female,2,9,NA,Resistant,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Female,2,10,NA,Susceptible,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Male,3,1,NA,Resistant,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Male,3,2,NA,Resistant,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Male,3,3,NA,Susceptible,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Male,3,4,NA,Resistant,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Male,3,5,NA,Susceptible,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Male,3,6,NA,Resistant,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Male,3,7,NA,Susceptible,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Male,3,8,NA,Susceptible,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Male,3,9,NA,Susceptible,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Male,3,10,NA,Susceptible,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Female,3,1,NA,Susceptible,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Female,3,2,NA,Susceptible,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Female,3,3,NA,Susceptible,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Female,3,4,NA,Susceptible,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Female,3,5,NA,Susceptible,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Female,3,6,NA,Resistant,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Female,3,7,NA,Susceptible,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Female,3,8,NA,Susceptible,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Female,3,9,NA,Susceptible,2018_09_06,2018_09_08,Simone,
566,892,ResistantXSusceptible,Female,3,10,NA,Susceptible,2018_09_06,2018_09_08,Simone,
892,566,SusceptibleXResistant,Male,1,1,NA,Resistant,2018_09_06,2018_09_08,Simone,
892,566,SusceptibleXResistant,Male,1,2,NA,Resistant,2018_09_06,2018_09_08,Simone,
892,566,SusceptibleXResistant,Male,1,3,NA,Resistant,2018_09_06,2018_09_08,Simone,
892,566,SusceptibleXResistant,Male,1,4,NA,Resistant,2018_09_06,2018_09_08,Simone,
892,566,SusceptibleXResistant,Male,1,5,NA,Resistant,2018_09_06,2018_09_08,Simone,
892,566,SusceptibleXResistant,Male,1,6,NA,Resistant,2018_09_06,2018_09_08,Simone,
